OrderID,OrderDate,CustomerID,Country,Channel,MarketingChannel,OrderStatus,ProductID,ProductName,Category,Quantity,UnitPrice,UnitCost,Discount,SalesAmount,CostAmount,MarketingSpend,ShippingTimeDays,ShippingCost,ProfitAmount,ReturnFlag,CustomerSegment
ORD100842,2023-01-01 10:04:57,CUST1993,Nigeria,Web,Email,Completed,P1035,Conditioner,Beauty,1,15.58,9.07,0.0,15.58,9.07,2.31,2,3.45,0.75,0,Returning
ORD100842,2023-01-01 10:04:57,CUST1993,Nigeria,Web,Email,Completed,P1007,Dress,Apparel,1,55.35,34.6,0.0,55.35,34.6,0.7,5,6.02,14.03,0,Returning
ORD100055,2023-01-03 13:28:44,CUST1608,United Kingdom,Web,Organic,Completed,P1025,Curtain,Home,1,42.22,20.05,0.0,42.22,20.05,0.23,2,3.08,18.86,0,Returning
ORD101007,2023-01-04 10:22:52,CUST1635,France,Web,Organic,Cancelled,P1024,Throw Pillow,Home,1,29.11,19.26,0.0,29.11,19.26,0.54,10,12.42,-3.11,0,New
ORD101113,2023-01-05 03:57:30,CUST1043,United Kingdom,Web,Email,Completed,P1003,Sneakers,Apparel,2,70.46,45.55,0.05,133.87,91.1,4.76,1,2.37,35.64,0,Loyal
ORD100325,2023-01-05 08:11:26,CUST1518,Nigeria,Web,Organic,Completed,P1029,Storage Box,Home,1,34.17,22.25,0.05,32.46,22.25,0.69,1,3.17,6.35,0,New
ORD100325,2023-01-05 08:11:26,CUST1518,Nigeria,Web,Organic,Completed,P1009,Blouse,Apparel,1,50.85,32.91,0.0,50.85,32.91,0.77,2,3.96,13.21,0,New
ORD100325,2023-01-05 08:11:26,CUST1518,Nigeria,Web,Organic,Completed,P1035,Conditioner,Beauty,2,15.58,12.23,0.0,31.16,24.46,0.88,2,4.06,1.76,0,New
ORD100402,2023-01-05 09:59:02,CUST1703,India,Mobile,Organic,Completed,P1028,Cutlery Set,Home,1,27.99,20.1,0.1,25.19,20.1,0.75,5,3.6,0.74,0,Loyal
ORD100402,2023-01-05 09:59:02,CUST1703,India,Mobile,Organic,Completed,P1033,Perfume,Beauty,2,18.85,13.49,0.0,37.7,26.98,0.64,3,3.47,6.61,0,Loyal
ORD100402,2023-01-05 09:59:02,CUST1703,India,Mobile,Organic,Completed,P1022,Vacuum,Home,1,41.35,21.51,0.0,41.35,21.51,0.29,4,5.12,14.43,0,Loyal
ORD100604,2023-01-08 04:28:04,CUST1844,United Kingdom,Mobile,Email,Completed,P1006,Socks,Apparel,3,71.58,39.42,0.0,214.74,118.26,5.29,2,3.42,87.77,0,Returning
ORD100604,2023-01-08 04:28:04,CUST1844,United Kingdom,Mobile,Email,Completed,P1036,Serum,Beauty,1,44.18,27.0,0.05,41.97,27.0,3.46,5,6.82,4.69,0,Returning
ORD100604,2023-01-08 04:28:04,CUST1844,United Kingdom,Mobile,Email,Completed,P1015,Webcam,Electronics,1,108.75,75.59,0.0,108.75,75.59,4.27,3,3.7,25.19,0,Returning
ORD100216,2023-01-09 11:12:18,CUST1577,Brazil,Mobile,Organic,Cancelled,P1010,Wireless Headphones,Electronics,2,110.73,88.5,0.0,221.46,177.0,0.78,10,11.59,32.09,0,Returning
ORD100991,2023-01-10 23:00:47,CUST1826,United States,App,Organic,Cancelled,P1006,Socks,Apparel,3,71.58,56.49,0.0,214.74,169.47,0.63,3,3.79,40.85,0,Returning
ORD100478,2023-01-11 03:50:07,CUST1942,Germany,Web,Organic,Completed,P1034,Shampoo,Beauty,1,56.45,28.28,0.05,53.63,28.28,0.75,2,3.1,21.5,0,Loyal
ORD100478,2023-01-11 03:50:07,CUST1942,Germany,Web,Organic,Completed,P1031,Sunscreen,Beauty,1,77.05,50.31,0.1,69.34,50.31,0.35,4,6.28,12.4,0,Loyal
ORD100866,2023-01-12 15:41:42,CUST1411,United Kingdom,Web,Email,Completed,P1002,Jeans,Apparel,2,52.95,38.79,0.0,105.9,77.58,5.45,1,2.75,20.12,0,New
ORD100866,2023-01-12 15:41:42,CUST1411,United Kingdom,Web,Email,Completed,P1004,Cap,Apparel,1,35.32,25.55,0.05,33.55,25.55,4.27,3,5.18,-1.45,0,New
ORD100926,2023-01-12 18:30:30,CUST1878,United States,Mobile,Social,Completed,P1011,Bluetooth Speaker,Electronics,1,110.69,58.13,0.05,105.16,58.13,3.73,1,2.79,40.51,0,New
ORD100739,2023-01-12 22:21:13,CUST1476,Germany,Web,Organic,Completed,P1006,Socks,Apparel,1,71.58,37.53,0.0,71.58,37.53,0.22,5,6.02,27.81,0,Returning
ORD100597,2023-01-13 15:41:32,CUST1779,Spain,Mobile,Organic,Completed,P1037,Face Mask,Beauty,1,0.81,0.43,0.0,0.81,0.43,0.59,2,3.59,-3.8,0,Returning
ORD100597,2023-01-13 15:41:32,CUST1779,Spain,Mobile,Organic,Completed,P1022,Vacuum,Home,1,41.35,25.39,0.05,39.28,25.39,0.81,2,3.21,9.87,0,Returning
ORD100796,2023-01-16 08:51:43,CUST1973,United States,App,PPC,Completed,P1036,Serum,Beauty,2,44.18,20.48,0.05,83.94,40.96,1.65,7,5.79,35.54,0,Returning
ORD100916,2023-01-17 00:24:51,CUST1430,United Kingdom,Mobile,Organic,Completed,P1015,Webcam,Electronics,1,108.75,86.99,0.0,108.75,86.99,0.08,14,14.31,7.37,0,New
ORD100916,2023-01-17 00:24:51,CUST1430,United Kingdom,Mobile,Organic,Completed,P1024,Throw Pillow,Home,2,29.11,17.52,0.1,52.4,35.04,0.85,2,3.14,13.37,0,New
ORD100916,2023-01-17 00:24:51,CUST1430,United Kingdom,Mobile,Organic,Completed,P1003,Sneakers,Apparel,1,70.46,41.32,0.0,70.46,41.32,0.47,1,3.16,25.51,0,New
ORD100168,2023-01-18 16:52:44,CUST1690,United Kingdom,App,Organic,Completed,P1024,Throw Pillow,Home,1,29.11,22.87,0.0,29.11,22.87,0.46,3,3.56,2.22,0,New
ORD100168,2023-01-18 16:52:44,CUST1690,United Kingdom,App,Organic,Completed,P1013,Phone Case,Electronics,2,81.73,43.67,0.05,155.29,87.34,0.62,5,4.64,62.69,0,New
ORD100168,2023-01-18 16:52:44,CUST1690,United Kingdom,App,Organic,Completed,P1001,Hoodie,Apparel,2,37.23,21.37,0.1,67.01,42.74,0.79,2,2.74,20.74,0,New
ORD100208,2023-01-18 18:04:00,CUST1268,United States,App,Social,Completed,P1024,Throw Pillow,Home,1,29.11,20.36,0.1,26.2,20.36,4.6,2,3.36,-2.12,0,Returning
ORD100477,2023-01-20 15:48:27,CUST1043,Nigeria,Web,PPC,Completed,P1032,Lipstick,Beauty,1,39.73,30.51,0.0,39.73,30.51,0.26,1,2.57,6.39,0,Loyal
ORD100498,2023-01-20 20:45:33,CUST1883,Nigeria,Web,PPC,Returned,P1026,Desk Lamp,Home,2,16.98,12.71,0.1,30.56,25.42,5.44,2,4.28,-4.58,1,Returning
ORD100498,2023-01-20 20:45:33,CUST1883,Nigeria,Web,PPC,Returned,P1020,Coffee Maker,Home,1,69.31,37.69,0.0,69.31,37.69,3.83,4,6.11,21.68,1,Returning
ORD100827,2023-01-21 16:06:32,CUST1407,Brazil,Web,Organic,Completed,P1020,Coffee Maker,Home,1,69.31,47.88,0.15,58.91,47.88,0.03,1,2.97,8.03,0,Returning
ORD100908,2023-01-24 04:07:41,CUST1420,United Kingdom,Mobile,PPC,Completed,P1035,Conditioner,Beauty,1,15.58,12.41,0.0,15.58,12.41,2.24,10,10.09,-9.16,0,Returning
ORD100908,2023-01-24 04:07:41,CUST1420,United Kingdom,Mobile,PPC,Completed,P1001,Hoodie,Apparel,2,37.23,29.73,0.0,74.46,59.46,5.76,4,6.34,2.9,0,Returning
ORD101151,2023-01-24 07:46:06,CUST1377,United States,Mobile,Email,Completed,P1015,Webcam,Electronics,1,108.75,75.47,0.0,108.75,75.47,4.04,3,3.82,25.42,0,Returning
ORD101151,2023-01-24 07:46:06,CUST1377,United States,Mobile,Email,Completed,P1029,Storage Box,Home,2,34.17,24.05,0.0,68.34,48.1,0.81,3,4.55,14.88,0,Returning
ORD100844,2023-01-26 11:54:29,CUST1789,Canada,Mobile,Organic,Cancelled,P1003,Sneakers,Apparel,1,70.46,54.87,0.0,70.46,54.87,0.38,1,2.46,12.75,0,Returning
ORD100464,2023-01-26 12:39:53,CUST1225,United Kingdom,Web,Organic,Completed,P1015,Webcam,Electronics,1,108.75,49.8,0.0,108.75,49.8,0.54,1,2.7,55.71,0,New
ORD100464,2023-01-26 12:39:53,CUST1225,United Kingdom,Web,Organic,Completed,P1022,Vacuum,Home,1,41.35,21.82,0.05,39.28,21.82,0.94,14,9.7,6.82,0,New
ORD100729,2023-01-26 23:46:08,CUST1464,Canada,Mobile,Organic,Completed,P1029,Storage Box,Home,2,34.17,25.03,0.05,64.92,50.06,0.38,1,2.53,11.95,0,Returning
ORD100729,2023-01-26 23:46:08,CUST1464,Canada,Mobile,Organic,Completed,P1024,Throw Pillow,Home,3,29.11,15.07,0.0,87.33,45.21,0.84,4,5.81,35.47,0,Returning
ORD100787,2023-01-27 06:34:38,CUST1880,United Kingdom,Mobile,Organic,Completed,P1015,Webcam,Electronics,1,108.75,63.3,0.1,97.88,63.3,0.13,2,3.86,30.59,0,Loyal
ORD100339,2023-01-27 12:33:48,CUST1085,Nigeria,Mobile,Organic,Completed,P1029,Storage Box,Home,1,34.17,18.12,0.05,32.46,18.12,0.74,10,8.99,4.61,0,Returning
ORD100339,2023-01-27 12:33:48,CUST1085,Nigeria,Mobile,Organic,Completed,P1032,Lipstick,Beauty,2,39.73,19.64,0.0,79.46,39.28,0.53,1,2.45,37.2,0,Returning
ORD100339,2023-01-27 12:33:48,CUST1085,Nigeria,Mobile,Organic,Completed,P1032,Lipstick,Beauty,1,39.73,18.37,0.1,35.76,18.37,0.36,4,6.49,10.54,0,Returning
ORD100121,2023-01-27 23:11:31,CUST1530,United Kingdom,Web,Organic,Completed,P1012,Smart Watch,Electronics,1,124.84,99.71,0.0,124.84,99.71,0.29,3,5.37,19.47,0,New
ORD100414,2023-02-01 07:27:44,CUST1604,United Kingdom,Web,Organic,Completed,P1008,Skirt,Apparel,1,30.61,20.87,0.0,30.61,20.87,0.47,1,2.47,6.8,0,Returning
ORD100223,2023-02-01 12:54:28,CUST1569,Australia,Web,Email,Completed,P1039,Hand Cream,Beauty,2,43.94,19.96,0.15,74.7,39.92,4.98,2,4.37,25.43,0,Returning
ORD100223,2023-02-01 12:54:28,CUST1569,Australia,Web,Email,Completed,P1001,Hoodie,Apparel,2,37.23,18.46,0.15,63.29,36.92,4.94,2,3.27,18.16,0,Returning
ORD100733,2023-02-02 03:21:22,CUST1495,Spain,Web,Organic,Completed,P1034,Shampoo,Beauty,1,56.45,27.8,0.0,56.45,27.8,0.61,5,5.91,22.13,0,Returning
ORD100194,2023-02-03 14:16:22,CUST1882,Brazil,Web,Affiliate,Completed,P1032,Lipstick,Beauty,3,39.73,27.76,0.1,107.27,83.28,3.8,10,6.49,13.7,0,Returning
ORD100194,2023-02-03 14:16:22,CUST1882,Brazil,Web,Affiliate,Completed,P1008,Skirt,Apparel,2,30.61,22.46,0.05,58.16,44.92,3.53,2,3.23,6.48,0,Returning
ORD100846,2023-02-04 20:17:41,CUST1490,United Kingdom,App,PPC,Completed,P1022,Vacuum,Home,1,41.35,26.89,0.05,39.28,26.89,0.18,1,2.95,9.26,0,New
ORD100925,2023-02-05 23:57:51,CUST1394,Canada,Mobile,Affiliate,Completed,P1005,Jacket,Apparel,1,35.32,26.22,0.05,33.55,26.22,1.43,4,4.63,1.27,0,Returning
ORD100115,2023-02-07 09:12:02,CUST1810,Nigeria,Web,Social,Cancelled,P1000,T-Shirt,Apparel,3,49.93,31.96,0.0,149.79,95.88,1.52,5,6.89,45.5,0,New
ORD100833,2023-02-07 10:44:36,CUST1613,United Kingdom,Web,PPC,Completed,P1027,Rug,Home,2,47.51,26.73,0.1,85.52,53.46,4.25,2,3.53,24.28,0,Returning
ORD100833,2023-02-07 10:44:36,CUST1613,United Kingdom,Web,PPC,Completed,P1030,Moisturizer,Beauty,1,27.97,17.93,0.0,27.97,17.93,1.88,2,3.77,4.39,0,Returning
ORD101064,2023-02-07 12:23:03,CUST1778,United States,Mobile,Organic,Completed,P1039,Hand Cream,Beauty,2,43.94,23.62,0.1,79.09,47.24,0.53,14,9.41,21.91,0,Returning
ORD101064,2023-02-07 12:23:03,CUST1778,United States,Mobile,Organic,Completed,P1006,Socks,Apparel,2,71.58,35.94,0.15,121.69,71.88,0.14,2,3.38,46.29,0,Returning
ORD100537,2023-02-07 15:25:31,CUST1525,Germany,Mobile,PPC,Completed,P1011,Bluetooth Speaker,Electronics,1,110.69,77.48,0.1,99.62,77.48,3.17,2,3.36,15.61,0,Returning
ORD100537,2023-02-07 15:25:31,CUST1525,Germany,Mobile,PPC,Completed,P1028,Cutlery Set,Home,1,27.99,15.69,0.2,22.39,15.69,0.38,2,4.21,2.11,0,Returning
ORD100437,2023-02-07 23:09:31,CUST1669,Nigeria,App,PPC,Completed,P1011,Bluetooth Speaker,Electronics,1,110.69,50.37,0.0,110.69,50.37,3.8,4,6.46,50.06,0,Returning
ORD100400,2023-02-08 06:58:05,CUST1454,France,Mobile,Social,Completed,P1000,T-Shirt,Apparel,1,49.93,30.92,0.15,42.44,30.92,5.24,2,3.16,3.12,0,Returning
ORD100871,2023-02-09 04:38:46,CUST1653,Brazil,Web,Email,Completed,P1009,Blouse,Apparel,1,50.85,26.16,0.0,50.85,26.16,4.48,2,3.9,16.31,0,Loyal
ORD100871,2023-02-09 04:38:46,CUST1653,Brazil,Web,Email,Completed,P1018,Smart Light,Electronics,1,101.84,68.52,0.0,101.84,68.52,1.81,4,4.64,26.87,0,Loyal
ORD101118,2023-02-11 07:15:47,CUST1047,Australia,Mobile,Organic,Cancelled,P1020,Coffee Maker,Home,1,69.31,45.13,0.05,65.84,45.13,0.65,4,5.78,14.28,0,New
ORD100858,2023-02-11 07:48:59,CUST1922,India,Web,Email,Completed,P1034,Shampoo,Beauty,2,56.45,37.12,0.05,107.26,74.24,0.98,4,3.8,28.24,0,Returning
ORD100357,2023-02-11 23:04:53,CUST1311,Nigeria,Web,Email,Completed,P1021,Air Fryer,Home,1,35.48,20.75,0.05,33.71,20.75,1.16,3,4.67,7.13,0,Returning
ORD100461,2023-02-12 10:36:08,CUST1451,United States,Web,PPC,Completed,P1004,Cap,Apparel,1,35.32,20.14,0.05,33.55,20.14,2.24,1,2.79,8.38,0,New
ORD100245,2023-02-13 13:05:43,CUST1445,United States,Mobile,Organic,Completed,P1033,Perfume,Beauty,1,18.85,13.28,0.0,18.85,13.28,0.81,5,3.89,0.87,0,Returning
ORD100065,2023-02-14 10:47:30,CUST1722,India,Web,Affiliate,Completed,P1025,Curtain,Home,2,42.22,33.26,0.0,84.44,66.52,1.99,1,2.39,13.54,0,New
ORD100065,2023-02-14 10:47:30,CUST1722,India,Web,Affiliate,Completed,P1039,Hand Cream,Beauty,1,43.94,22.11,0.0,43.94,22.11,5.79,1,2.41,13.63,0,New
ORD100691,2023-02-14 19:09:11,CUST1438,France,Web,PPC,Completed,P1029,Storage Box,Home,1,34.17,18.98,0.0,34.17,18.98,4.91,10,8.14,2.14,0,Returning
